Samples	Signature A	Signature B	Signature C	Signature D
Sample761	780	228	0	0
Sample762	721	279	0	0
Sample763	752	233	0	0
Sample764	407	563	0	0
Sample765	868	0	0	132
Sample766	859	0	0	121
Sample767	484	498	0	0
Sample768	752	263	0	0
Sample769	746	0	0	235
Sample770	710	268	0	0
Sample771	890	0	0	136
Sample772	747	0	237	0
Sample773	681	299	0	0
Sample774	634	0	209	137
Sample775	722	0	0	256
Sample776	410	0	562	0
Sample777	0	541	256	217
Sample778	732	0	260	0
Sample779	277	702	0	0
Sample780	694	320	0	0
Sample781	701	312	0	0
Sample782	864	0	0	116
Sample783	720	280	0	0
Sample784	592	0	0	422
Sample785	767	251	0	0
Sample786	821	0	0	164
Sample787	758	0	250	0
Sample788	283	699	0	0
Sample789	359	614	0	0
Sample790	768	232	0	0
Sample791	1008	0	0	0
Sample792	538	0	345	151
Sample793	387	0	449	187
Sample794	716	0	0	251
Sample795	721	296	0	0
Sample796	390	370	0	228
Sample797	674	0	190	136
Sample798	388	634	0	0
Sample799	281	693	0	0
Sample800	850	0	0	142
Sample801	1000	0	0	0
Sample802	0	582	387	0
Sample803	858	0	0	150
Sample804	871	0	0	147
Sample805	861	0	0	120
Sample806	859	0	0	131
Sample807	805	209	0	0
Sample808	592	378	0	0
Sample809	258	723	0	0
Sample810	674	0	199	112
Sample811	794	206	0	0
Sample812	690	336	0	0
Sample813	772	207	0	0
Sample814	733	253	0	0
Sample815	747	253	0	0
Sample816	261	719	0	0
Sample817	730	304	0	0
Sample818	0	0	719	274
Sample819	634	349	0	0
Sample820	741	0	0	235
Sample821	797	222	0	0
Sample822	681	0	179	124
Sample823	1000	0	0	0
Sample824	861	0	0	120
Sample825	435	545	0	0
Sample826	0	656	318	0
Sample827	749	259	0	0
Sample828	810	0	0	198
Sample829	729	263	0	0
Sample830	0	534	277	198
Sample831	858	0	0	121
Sample832	405	622	0	0
Sample833	766	226	0	0
Sample834	720	293	0	0
Sample835	410	0	562	0
Sample836	620	0	238	127
Sample837	294	694	0	0
Sample838	862	0	0	117
Sample839	793	225	0	0
Sample840	189	0	433	386
Sample841	421	560	0	0
Sample842	861	0	0	158
Sample843	410	0	562	0
Sample844	992	0	0	0
Sample845	290	676	0	0
Sample846	430	287	0	298
Sample847	685	0	0	316
Sample848	1008	0	0	0
Sample849	386	286	0	341
Sample850	467	0	532	0
Sample851	483	280	251	0
Sample852	669	0	339	0
Sample853	339	648	0	0
Sample854	579	389	0	0
Sample855	410	0	562	0
Sample856	805	209	0	0
Sample857	0	240	486	254
Sample858	788	192	0	0
Sample859	419	238	0	351
Sample860	856	0	0	136
Sample861	776	224	0	0
Sample862	750	258	0	0
Sample863	865	0	0	127
Sample864	720	280	0	0
Sample865	237	730	0	0
Sample866	868	0	0	132
Sample867	870	0	0	130
Sample868	318	263	382	0
Sample869	426	0	348	246
Sample870	832	0	0	182
Sample871	538	481	0	0
Sample872	410	0	562	0
Sample873	367	667	0	0
Sample874	805	209	0	0
Sample875	646	0	316	0
Sample876	758	221	0	0
Sample877	410	0	562	0
Sample878	0	822	0	193
Sample879	367	276	338	0
Sample880	0	0	766	204
Sample881	632	383	0	0
Sample882	744	273	0	0
Sample883	401	352	232	0
Sample884	737	0	278	0
Sample885	725	275	0	0
Sample886	773	242	0	0
Sample887	669	323	0	0
Sample888	979	0	0	0
Sample889	312	668	0	0
Sample890	805	209	0	0
Sample891	754	246	0	0
Sample892	782	198	0	0
Sample893	682	310	0	0
Sample894	476	273	0	239
Sample895	391	249	0	376
Sample896	256	721	0	0
Sample897	844	0	0	128
Sample898	190	0	432	377
Sample899	870	0	0	122
Sample900	323	644	0	0
Sample901	800	218	0	0
Sample902	826	0	0	174
Sample903	777	0	0	197
Sample904	790	0	224	0
Sample905	685	315	0	0
Sample906	651	336	0	0
Sample907	841	0	0	138
Sample908	678	344	0	0
Sample909	762	252	0	0
Sample910	0	506	287	213
Sample911	779	213	0	0
Sample912	754	225	0	0
Sample913	324	657	0	0
Sample914	360	354	267	0
Sample915	754	0	226	0
Sample916	434	264	0	301
Sample917	762	252	0	0
Sample918	987	0	0	0
Sample919	609	0	0	377
Sample920	333	641	0	0
Sample921	632	392	0	0
Sample922	729	279	0	0
Sample923	701	0	178	106
Sample924	0	261	536	184
Sample925	838	0	0	185
Sample926	980	0	0	0
Sample927	768	232	0	0
Sample928	0	779	197	0
Sample929	708	306	0	0
Sample930	513	311	0	151
Sample931	410	0	562	0
Sample932	732	260	0	0
Sample933	478	318	0	225
Sample934	0	0	602	412
Sample935	988	0	0	0
Sample936	489	284	0	245
Sample937	344	346	0	313
Sample938	844	0	0	141
Sample939	787	198	0	0
Sample940	351	314	0	334
Sample941	410	0	562	0
Sample942	275	0	450	290
Sample943	337	701	0	0
Sample944	787	0	248	0
Sample945	759	226	0	0
Sample946	566	0	0	442
Sample947	389	300	0	327
Sample948	846	0	0	139
Sample949	663	0	0	311
