Samples	Signature A
Sample1605	60268
Sample1606	60307
Sample1607	60336
Sample1608	60366
Sample1609	60393
Sample1610	60426
Sample1611	60465
Sample1612	60498
Sample1613	60529
Sample1614	60557
Sample1615	60596
Sample1616	60627
Sample1617	60670
Sample1618	60693
Sample1619	60770
Sample1620	60946
Sample1621	60973
Sample1622	61002
Sample1623	61029
Sample1624	61063
Sample1625	61094
Sample1626	61173
Sample1627	61253
Sample1628	61289
Sample1629	61317
Sample1630	61356
Sample1631	61388
Sample1632	61462
Sample1633	61474
Sample1634	61501
Sample1635	61528
Sample1636	61566
Sample1637	61608
Sample1638	61634
Sample1639	61662
Sample1640	61689
Sample1641	61719
Sample1642	61758
Sample1643	61789
Sample1644	61825
Sample1645	61848
Sample1646	61881
Sample1647	61955
Sample1648	61996
Sample1649	62031
Sample1650	62072
Sample1651	62118
Sample1652	62191
Sample1653	62232
Sample1654	62264
Sample1655	62304
Sample1656	62327
Sample1657	62356
Sample1658	62392
Sample1659	62417
Sample1660	62445
Sample1661	62478
Sample1662	62518
