Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence
Sample361	13169	1.0	231.681	1.759%	35.576	1.411%	0.0008
Sample362	13197	1.0	227.155	1.721%	34.931	1.382%	0.0008
Sample363	13228	1.0	223.574	1.69%	34.214	1.35%	0.0008
Sample364	13272	1.0	237.539	1.79%	36.184	1.423%	0.0008
Sample365	13301	1.0	237.365	1.785%	35.809	1.406%	0.0008
Sample366	13334	1.0	234.329	1.757%	35.657	1.396%	0.0008
Sample367	13371	1.0	241.06	1.803%	36.97	1.443%	0.0008
Sample368	13399	1.0	241.251	1.801%	37.033	1.442%	0.0008
Sample369	13425	1.0	240.428	1.791%	36.791	1.43%	0.0008
Sample370	13453	1.0	236.849	1.761%	36.042	1.398%	0.0008
Sample371	13482	1.0	235.035	1.743%	35.71	1.382%	0.0008
Sample372	13512	1.0	233.681	1.729%	35.691	1.378%	0.0008
Sample373	13543	1.0	235.841	1.741%	35.906	1.383%	0.0008
Sample374	13572	1.0	236.651	1.744%	36.123	1.388%	0.0008
Sample375	13648	1.0	227.782	1.669%	35.845	1.371%	0.0008
Sample376	13687	1.0	234.659	1.714%	36.413	1.388%	0.0008
Sample377	13743	1.0	242.479	1.764%	37.741	1.434%	0.0009
Sample378	13783	1.0	251.708	1.826%	38.844	1.471%	0.0009
Sample379	13814	1.0	247.19	1.789%	38.663	1.461%	0.0009
Sample380	13895	1.0	269.597	1.94%	41.201	1.549%	0.0009
Sample381	13925	1.0	269.941	1.939%	41.159	1.544%	0.0009
Sample382	14000	1.0	287.4	2.053%	42.938	1.603%	0.0009
Sample383	14036	1.0	279.693	1.993%	41.725	1.553%	0.0009
Sample384	14072	1.0	274.661	1.952%	41.228	1.531%	0.0009
Sample385	14108	1.0	275.896	1.956%	41.907	1.551%	0.0009
Sample386	14144	1.0	279.351	1.975%	41.817	1.544%	0.0009
Sample387	14176	1.0	278.83	1.967%	41.381	1.525%	0.0009
Sample388	14207	1.0	280.341	1.973%	41.82	1.537%	0.0009
Sample389	14239	1.0	274.862	1.93%	41.456	1.52%	0.0009
